# RTL_ID 21041400
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000f00   ---        --------
               6   N   00000f00   0000e101   00000f04   x10_a0     00000000
               7   N   00000f04   00004e01   00000f06   ---        --------
               8   N   00000f06   00000297   00000f08   x28_t3     00000000
               9   N   00000f08   bf828293   00000f0c   x05_t0     00000f08
              10   N   00000f0c   30529073   00000f10   x05_t0     00000b00
              11   N   00000f10   00004505   00000f14   ---        --------
              12   N   00000f14   0000057e   00000f16   x10_a0     00000001
              13   N   00000f16   00054863   00000f18   x10_a0     80000000
              14   N   00000f18   0ff0000f   00000f28   ---        --------
              17   N   00000f28   00028f63   00000f2c   x05_t0     00000000
              18   N   00000f2c   10529073   00000f4a   ---        --------
              22   N   00000f4a   00006509   00000f4e   ---        --------
              23   N   00000f4e   00006509   00000f4e   ---        --------
              24   N   00000f4e   80050513   00000f50   x10_a0     00002000
              25   N   00000f50   30052073   00000f54   x10_a0     00001800
              26   N   00000f54   00000297   00000f58   ---        --------
              27   N   00000f58   00000297   00000f58   ---        --------
              28   N   00000f58   6be28293   00000f5c   x05_t0     00000f58
              29   N   00000f5c   34129073   00000f60   x05_t0     00001616
              30   N   00000f60   f1402573   00000f64   ---        --------
              31   N   00000f64   30200073   00000f68   x10_a0     00000000
              33   N   00000f68   00000000   00001616   ---        --------
              36   N   00001616   00200e13   00001618   ---        --------
              37   N   00001618   00000000   0000161c   x28_t3     00000002
              38   E   0000161c   00000000   00000b00   mstatus    00001800
              38   E   0000161c   00000000   00000b00   mepc       0000161c
              38   E   0000161c   00000000   00000b00   mcause     00000002
              38   E   0000161c   00000000   00000b00   mtval      00000000
              41   N   00000b00   000047a1   00000b04   x14_a4     00000002
              42   N   00000b04   04f70263   00000b06   x15_a5     00000008
              43   N   00000b06   000047a5   00000b0a   ---        --------
              44   N   00000b0a   02f70f63   00000b0c   x15_a5     00000009
              45   N   00000b0c   000047ad   00000b10   ---        --------
              46   N   00000b10   02f70c63   00000b12   x15_a5     0000000b
              47   N   00000b12   47ad0837   00000b16   ---        --------
              49   N   00000b16   02f71897   00000b1a   x16_a6     f0000000
              51   N   00000b1a   f0008893   00000b1e   x17_a7     00001b1a
              53   N   00000b1e   00008783   00000b22   x17_a7     00001600
              56   N   00000b22   0000c791   00000b26   x15_a5     00000069
              57   N   00000b26   00f82023   00000b28   ---        --------
              59   N   00000b28   00000885   00000b2c   ---        --------
              60   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001601
              61   N   00000b2e   08851717   00000b22   ---        --------
              66   N   00000b22   0000c791   00000b26   x15_a5     0000006e
              67   N   00000b26   00f82023   00000b28   ---        --------
              69   N   00000b28   00000885   00000b2c   ---        --------
              70   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001602
              71   N   00000b2e   08851717   00000b22   ---        --------
              76   N   00000b22   0000c791   00000b26   x15_a5     00000063
              77   N   00000b26   00f82023   00000b28   ---        --------
              79   N   00000b28   00000885   00000b2c   ---        --------
              80   N   00000b2c   ff5ff06f   00000b2e   x17_a7     00001603
              81   N   00000b2e   08851717   00000b22   ---        --------
              86   N   00000b22   0000c791   00000b26   x15_a5     0000006f
              87   N   00000b26   00f82023   00000b28   ---        --------
              89   N   00000b28   00000885   00000b2c   ---        --------
